coefficients,full,full_pvalue,time_adj,time_adj_pvalue
(Intercept),-0.9460325520817209,2.5975496971426757e-11,-0.5803630745015174,1.1543193693727025e-5
da_factorYes,-1.5082370356201569,3.1175994122000327e-10,-0.9721047586413383,7.3826110460577955e-6
log(age.in.months),0.9932224510853072,3.024814432905483e-276,0.9283871728754847,6.247079161417418e-274
container.titleApplied and Environmental Microbiology,-1.0337270062755661,2.912265403032775e-9,-0.8853255436050865,5.6167907367012624e-08
container.titleGenome Announcements,-4.530283293535817,0.001724694608710941,-4.4952565840613,9.77802257513696e-4
container.titleInfection and Immunity,-0.7926751249250313,0.0020530025083041067,-0.794501229488567,0.0010203610707209957
container.titleJournal of Bacteriology,-1.170554045793685,4.7828421662220174e-8,-1.0767844628966903,1.0028289107923227e-7
container.titleJournal of Clinical Microbiology,0.2729212893215358,0.1963094664504325,0.22153362475180718,0.26074407629545254
container.titleJournal of Microbiology &amp; Biology Education,-0.22612526779138908,0.8995592449309096,-0.22108814453193812,0.8630181137319346
container.titleJournal of Virology,-0.4370453666554202,0.012885408398217252,-0.3553973739629853,0.029595498766673806
container.titlemBio,-1.8816591357533294,2.2080857964790057e-18,-1.1143997795987082,6.811849407629726e-9
container.titleMicrobiology Resource Announcements,-3.08395672525674,0.028877922965928646,-2.174216870935665,0.05523129974617596
container.titleMicrobiology Spectrum,-3.554994653319791,1.3066315990834212e-32,-1.7063254892550868,1.2903075665088032e-14
container.titlemSphere,-2.5766983136527046,1.4490450035087149e-12,-1.512248703654812,7.813050874734825e-7
container.titlemSystems,-2.6293442416837833,4.843196487416607e-11,-1.2805662772833735,6.823265159791785e-5
da_factorYes:container.titleApplied and Environmental Microbiology,0.8693182568906256,0.0016902196367851107,0.7436928505585226,0.0031688077703484366
da_factorYes:container.titleGenome Announcements,1.6881242000801517,0.25889111004791926,1.1682878849835505,0.4069706415137518
da_factorYes:container.titleInfection and Immunity,1.0847689608043978,0.010860073631728388,0.8903748042331417,0.02253717787489099
da_factorYes:container.titleJournal of Bacteriology,1.5260014389558565,2.805320542347002e-5,1.118141496173707,8.278433568985125e-4
da_factorYes:container.titleJournal of Clinical Microbiology,0.7993942634782816,0.027132486114768154,0.7085403227575346,0.02978383247291267
da_factorYes:container.titleJournal of Microbiology &amp; Biology Education,NA,NA,NA,NA
da_factorYes:container.titleJournal of Virology,0.8018902824483036,0.009176656989546972,0.6295259905561102,0.02323939350494513
da_factorYes:container.titlemBio,1.1511518939625316,2.8208428982268467e-4,0.9010067447439781,0.0012869341736374477
da_factorYes:container.titleMicrobiology Resource Announcements,0.620766357059847,0.664156999723579,0.13115899893435598,0.9093159961486939
da_factorYes:container.titleMicrobiology Spectrum,1.0272847371103737,0.009272924854254905,0.7280562037383025,0.016552165145379168
da_factorYes:container.titlemSphere,1.365719709333148,0.00339727930418943,1.0356388215068295,0.008541665695351334
da_factorYes:container.titlemSystems,0.8814521231695617,0.062086081971769104,0.5380795177828458,0.1639997566691333
da_factorYes:log(age.in.months),0.3674822397536876,2.628394709413555e-12,0.24851205804248688,2.2220554659381845e-7
