names,coefficients,journal,journal_pvalue,at_one_year,at_one_year_pvalue,at_five_years,at_five_years_pvalue,five_years,five_years_pvalue,at_ten_years,at_ten_years_pvalue,ten_years,ten_years_pvalue
aac,rsquared,0.3623190858326046,NA,NA,NA,NA,NA,0.5563884375760483,NA,0.0019735021505428827,NA,0.4759004037553471,NA
aac,(Intercept),-0.9608895367198502,8.852185050227074e-11,NA,NA,NA,NA,-3.442254420435378,3.8160987731648923e-14,3.9945242269398906,4.745015266303927e-58,-2.6960244785669407,1.0224561947793892e-24
aac,da_factorYes,-1.5204490311026237,1.0811550058674116e-9,NA,NA,NA,NA,-0.18903186693482016,0.7431140773423568,-0.0745330518625654,0.862735493856309,-0.2667147204747859,0.4478187573087018
aac,log(age.in.months),0.9961329765112571,7.745486495006023e-255,NA,NA,NA,NA,1.6057756176371805,1.1204340065687673e-37,NA,NA,1.3975761125113484,1.9962174599035102e-115
aac,da_factorYes:log(age.in.months),0.3707505926644362,1.1892981668433477e-11,NA,NA,NA,NA,0.06909596429624697,0.6639690484742493,NA,NA,0.09570315126981191,0.24909322468498868
aac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aem,rsquared,0.4861945838946553,NA,0.01420830691961109,NA,0.07354240427668056,NA,0.628360245103554,NA,0.021789105051024858,NA,0.6203605012089807,NA
aem,(Intercept),-1.965428846997029,2.1249213599378627e-91,2.1202878236511468e-16,0.9999999999999998,2.7372493557944715,3.308247150069567e-33,-3.527814113580174,4.722050819817741e-35,4.040709346389467,4.413303999024152e-127,-3.2253236425637475,5.0882521616987956e-79
aem,da_factorYes,-0.6343128581538606,1.944659995690899e-6,0.3364722366212121,0.6923824774085503,0.41263359758677665,0.13638038212376252,-0.41719207574217265,0.22146523939329987,0.1945113644511938,0.43062469422674604,-0.1718018509412998,0.41495963530893853
aem,log(age.in.months),1.1962892738437751,0,NA,NA,NA,NA,1.5802235905728899,2.0585637874287445e-88,NA,NA,1.4985302850976694,0
aem,da_factorYes:log(age.in.months),0.19625713498687897,1.655446117585025e-12,NA,NA,NA,NA,0.1888237024145495,0.046359400927149234,NA,NA,0.10535120918476705,0.03488514464007179
genomea,rsquared,0.06358497352956388,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03206518160665341,NA
