paper,doi,da,nsd,year.published,actual_da,actual_nsd,notes
https://journals.asm.org/doi/10.1128/mra.00715-23,10.1128/mra.00715-23,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00811-23,10.1128/mra.00811-23,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00847-23,10.1128/mra.00847-23,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.01108-23,10.1128/mra.01108-23,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.01039-23,10.1128/mra.01039-23,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.01134-23,10.1128/mra.01134-23,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.01197-23,10.1128/mra.01197-23,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00063-24,10.1128/mra.00063-24,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00038-24,10.1128/mra.00038-24,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.01125-23,10.1128/mra.01125-23,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.01280-23,10.1128/mra.01280-23,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.01052-23,10.1128/mra.01052-23,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.01161-23,10.1128/mra.01161-23,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.01151-23,10.1128/mra.01151-23,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.01261-23,10.1128/mra.01261-23,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.00162-24,10.1128/mra.00162-24,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.00170-24,10.1128/mra.00170-24,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00046-24,10.1128/mra.00046-24,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00282-24,10.1128/mra.00282-24,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.00277-24,10.1128/mra.00277-24,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00080-24,10.1128/mra.00080-24,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.00228-24,10.1128/mra.00228-24,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.00259-24,10.1128/mra.00259-24,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.00234-24,10.1128/mra.00234-24,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00210-24,10.1128/mra.00210-24,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.00448-24,10.1128/mra.00448-24,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.00291-24,10.1128/mra.00291-24,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.00260-24,10.1128/mra.00260-24,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00369-24,10.1128/mra.00369-24,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00347-24,10.1128/mra.00347-24,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.00343-24,10.1128/mra.00343-24,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00289-24,10.1128/mra.00289-24,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.00190-24,10.1128/mra.00190-24,No,Yes,2024,Yes,Yes,"numbers in a table, not scraped/read"
https://journals.asm.org/doi/10.1128/mra.00538-24,10.1128/mra.00538-24,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00317-24,10.1128/mra.00317-24,No,Yes,2024,No,Yes,
https://journals.asm.org/doi/10.1128/mra.00680-24,10.1128/mra.00680-24,No,Yes,2024,No,Yes,
