key,da_model,nsd_model
mtry,400,300
logLoss,0.21986859786674212,0.3194941071100538
AUC,0.9823569103971902,0.9548697947371976
prAUC,0.9482461265368894,0.9359031410566532
Accuracy,0.9352626595543527,0.8924979701884239
Kappa,0.8586863070320169,0.7829935696706561
F1,0.9497682126378975,0.9019308831247352
Sensitivity,0.9546997685672207,0.9129964736996767
Specificity,0.90053265993266,0.8683080745341615
Pos_Pred_Value,0.9454137924672215,0.892236755958422
Neg_Pred_Value,0.9190489635581908,0.8955056972164427
Precision,0.9454137924672215,0.8922367559584219
Recall,0.9546997685672207,0.9129964736996767
Detection_Rate,0.6122178954886242,0.4942862364650752
Balanced_Accuracy,0.9276162142499403,0.8906522741169192
logLossSD,0.019405835041558205,0.02606230096667054
AUCSD,0.008046992245927339,0.015619781783909152
prAUCSD,0.015083498220345746,0.01775219778609187
AccuracySD,0.01918990761437666,0.023447763773615363
KappaSD,0.04189186272550807,0.04750074553750247
F1SD,0.014954447962691299,0.021204085584465713
SensitivitySD,0.02233858686551494,0.03117814944146879
SpecificitySD,0.04086575868379558,0.04236021049299766
Pos_Pred_ValueSD,0.021182927140193222,0.030572499641363386
Neg_Pred_ValueSD,0.03653550386585144,0.033173874330797604
PrecisionSD,0.02118292714019321,0.03057249964136338
RecallSD,0.02233858686551494,0.03117814944146879
Detection_RateSD,0.014611278038632785,0.016900437213524515
Balanced_AccuracySD,0.02202992585375074,0.02405489618782046
